,best_params,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision,train_f1,val_f1,runtime
Random Forest,"OrderedDict([('Model__bootstrap', True), ('Model__criterion', 'entropy'), ('Model__max_depth', 10), ('Model__min_samples_leaf', 1), ('Model__min_samples_split', 2), ('Model__n_estimators', 150)])",0.8722466960352423,0.6006600660066007,0.8722466960352423,0.6006600660066007,0.8753676107770055,0.5873068235778344,0.8707009242154694,0.5508288012514515,29.446810722351074
ExtraTrees,"OrderedDict([('Model__bootstrap', False), ('Model__criterion', 'entropy'), ('Model__max_depth', 30), ('Model__min_samples_leaf', 2), ('Model__min_samples_split', 10), ('Model__n_estimators', 150)])",0.7566079295154186,0.6072607260726073,0.7566079295154186,0.6072607260726073,0.7815077848319945,0.5524270284171274,0.737008509825216,0.550301244342494,24.146100282669067
LinearSVM,"OrderedDict([('Model__C', 0.1), ('Model__random_state', 11)])",0.6024229074889867,0.570957095709571,0.6024229074889867,0.570957095709571,0.4907496173221896,0.4577229743699759,0.5378325914348644,0.5077551400839699,15.397648811340332
PolynomialSVM,"OrderedDict([('Model__C', 1.0), ('Model__coef0', 1.0), ('Model__degree', 3), ('Model__random_state', 11)])",0.6696035242290749,0.5775577557755776,0.6696035242290749,0.5775577557755776,0.6792679231669254,0.528076236943066,0.6433911858798359,0.533579483176899,17.34524631500244
RadialSVM,"OrderedDict([('Model__C', 1.0), ('Model__gamma', 'auto'), ('Model__random_state', 11)])",0.6387665198237885,0.5907590759075908,0.6387665198237885,0.5907590759075908,0.6731046367386643,0.5098777185410849,0.5999379499964196,0.5310550748392444,15.16079330444336
