,best_params,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision,train_f1,val_f1,runtime
KNN,"OrderedDict([('Model__algorithm', 'brute'), ('Model__n_neighbors', 11), ('Model__p', 1), ('Model__weights', 'uniform')])",0.7532290958531611,0.7209775967413442,0.7532290958531611,0.7209775967413442,0.7672375217485471,0.7211343856168084,0.7544575471935017,0.7183651079903479,17.904008865356445
LinearSVM,"OrderedDict([('Model__C', 100.0), ('Model__random_state', 11)])",0.7396329027872196,0.7535641547861507,0.7396329027872196,0.7535641547861507,0.7410146782513212,0.7505130109587991,0.7381308554251793,0.7503245316112458,27.832701206207275
PolynomialSVM,"OrderedDict([('Model__C', 1.0), ('Model__coef0', 2.0), ('Model__degree', 2), ('Model__random_state', 11)])",0.7675050985723997,0.7535641547861507,0.7675050985723997,0.7535641547861507,0.7694835089250639,0.750945885020473,0.7669573754167223,0.7517203263991384,37.622328996658325
RadialSVM,"OrderedDict([('Model__C', 1.0), ('Model__gamma', 'scale'), ('Model__random_state', 11)])",0.778382053025153,0.7515274949083504,0.778382053025153,0.7515274949083504,0.7816254486788842,0.749384477082954,0.778366561765325,0.7502152250062162,16.771276473999023
