,best_params,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision,train_f1,val_f1,runtime
KNN,"OrderedDict([('Model__algorithm', 'kd_tree'), ('Model__n_neighbors', 11), ('Model__p', 2), ('Model__weights', 'uniform')])",0.7443915703602991,0.7372708757637475,0.7443915703602991,0.7372708757637475,0.747006004041202,0.7428131359770428,0.7359790385261007,0.7232807572584707,20.19602346420288
LinearSVM,"OrderedDict([('Model__C', 1.0), ('Model__random_state', 11)])",0.7253569000679809,0.745417515274949,0.7253569000679809,0.745417515274949,0.7247956717117319,0.7447806634652042,0.7150071027617179,0.7356075493624716,14.14470386505127
PolynomialSVM,"OrderedDict([('Model__C', 1.0), ('Model__coef0', 1.0), ('Model__degree', 2), ('Model__random_state', 11)])",0.7593473827328348,0.7515274949083504,0.7593473827328348,0.7515274949083504,0.7629615991726203,0.7496611076700704,0.7509067373477285,0.7431702652105132,20.437460899353027
RadialSVM,"OrderedDict([('Model__C', 1.0), ('Model__gamma', 'scale'), ('Model__random_state', 11)])",0.7668252889191026,0.7433808553971487,0.7668252889191026,0.7433808553971487,0.7695302632975655,0.7400415610757162,0.7602436796011425,0.7359180639208137,15.245095491409302
