track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,genre,duration_ms,num_artists,duration_mins,album_name,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_chill_opm_proba,genre_happy_opm_proba,genre_hugot_opm_proba,genre_sad_opm_proba
34u1TM1vh7SUSi8QWC3Qnn,Kahit Na,4LTJwj8UNLy3ApvH7XUiiq,Martin Nievera,6zrUTSqOPuYcTWR3sGQpaq,,2006-01-01,0,0.591,0.343,8.0,-11.75,1.0,0.0373,0.527,0.00113,0.102,0.113,87.971,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,300303.0,1.0,5.00505,,0,chill_opm,0.47151725337640965,0.47151725337640965,0.013453767008111996,0.18600918191653082,0.3290197976989475
6CT05RC01gkCz9OmjRFF57,Kailangan Kita,4LTJwj8UNLy3ApvH7XUiiq,Martin Nievera,6zrUTSqOPuYcTWR3sGQpaq,,2006-01-01,0,0.226,0.331,10.0,-8.721,1.0,0.0369,0.535,4.43e-06,0.131,0.297,74.725,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,270576.0,1.0,4.5096,,3,sad_opm,0.4064765518924263,0.3286789303320713,0.016161375661375665,0.2486831421141269,0.4064765518924263
45DUb20aFLSwWD3c5h34AM,Maging Sino Ka Man,"['5xWPJKDLLSDaz7K7tSMTFu', '1UBtquuUSFe0uhz662TicE', '4LTJwj8UNLy3ApvH7XUiiq']","['REY VALERA', 'ABS-CBN Philharmonic Orchestra', 'Martin Nievera']",56HAEPqDF2FKOHLwBoG2De,,2014-01-01,0,0.274,0.29,9.0,-10.464,1.0,0.034,0.788,1.79e-05,0.292,0.148,68.297,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,243586.0,3.0,4.0597666666666665,,3,sad_opm,0.6550913606398233,0.18473913205856915,0.00612462123405323,0.15404488606755404,0.6550913606398233
3Yw8zd1zNWUqUXoE2VRzOn,Ikaw,4LTJwj8UNLy3ApvH7XUiiq,Martin Nievera,75qt6fH5VNB7V6b2zbxx7d,,2008-01-01,0,0.14,0.296,3.0,-8.761,1.0,0.031,0.736,3.36e-05,0.089,0.0686,78.867,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,248520.0,1.0,4.142,,3,sad_opm,0.7158492063492063,0.11526719576719571,0.0055529100529100525,0.1633306878306878,0.7158492063492063
1cN8bugcIxDL4lBugF7ZjE,Ngayon At Kailanman,4QvYFzlTFZFg2904xx8gOu,Ariel Rivera,6xprxPgcSEqT67Bz0FaXEi,,2012-11-14,0,0.194,0.206,3.0,-13.3,1.0,0.0337,0.889,0.000541,0.143,0.201,67.98,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,320342.0,1.0,5.339033333333333,,3,sad_opm,0.7189372637517797,0.13974814194169027,0.025827173423947622,0.11548742088258214,0.7189372637517797
7t4voZXXvYTgynftx6mFWw,Handog,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,3AhK0Qazhunq4SRJkVORuy,,2013-01-01,0,0.655,0.341,0.0,-8.999,1.0,0.0281,0.881,3.42e-06,0.144,0.256,105.024,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,243160.0,1.0,4.052666666666667,,3,sad_opm,0.4008297111511886,0.3463978442391576,0.057657396221349716,0.1951150483883042,0.4008297111511886
3fYNG5xyowcxDxMLY0RRcD,Ngayon At Kailanman,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,3AhK0Qazhunq4SRJkVORuy,,2013-01-01,0,0.524,0.46,5.0,-8.656,1.0,0.0335,0.719,0.000206,0.0993,0.369,75.041,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,277200.0,1.0,4.62,,0,chill_opm,0.584251045939418,0.584251045939418,0.022677814691768185,0.08052771905097483,0.312543420317839
6LojCrquTR5uD9gDGwl4Y3,Ikaw Lang Ang Mamahalin,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,7LXVVfRXUKeyJgctZphkYU,,2008-01-01,0,0.569,0.266,4.0,-9.749,1.0,0.0265,0.863,1.67e-06,0.12,0.14,88.027,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,217000.0,1.0,3.6166666666666663,,3,sad_opm,0.595464807489715,0.2115538373209632,0.01758446373124569,0.1753968914580761,0.595464807489715
7rZVlsD9LhIprtkUA8yIIK,Bato Sa Buhangin,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,7LXVVfRXUKeyJgctZphkYU,,2008-01-01,0,0.798,0.385,5.0,-10.336,1.0,0.0273,0.763,0.00767,0.112,0.41,100.008,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,177320.0,1.0,2.9553333333333334,,0,chill_opm,0.764732376309693,0.764732376309693,0.04460994702745646,0.043586495366008095,0.1470711812968422
1DhHkQ8jz1uMLAvptFkgHn,Dahil Mahal Kita,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,54TXl5U2p5zFaJIR8HJwxV,,2001-01-01,0,0.529,0.521,7.0,-7.701,1.0,0.0246,0.739,6.36e-06,0.126,0.361,83.354,6dESeD7e88O33fKbUxGUr4,OPM Classics 🇵🇭: 80s 90s Pinoy Love Songs | The Best of Manila Sound (Male Artists),pinoy,246256.0,1.0,4.104266666666667,,0,chill_opm,0.5030550460608567,0.5030550460608567,0.02544228915948634,0.06148075921009054,0.4100219055695665
