track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name,genre,num_artists,duration_mins,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_alternative_rock_proba,genre_pop_proba,genre_sad_opm_proba
3rxRmbGhFjMF4gwZWmJxtH,Kulang Ako Kung Wala Ka,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,6wrae6yHAQhFkZIvDJspp6,,2011-08-12,0,0.415,0.311,8,-8.436,1,0.0303,0.855,1.04e-05,0.142,0.373,138.154,271154,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.519233333333333,2,sad_opm,0.7851212024688721,0.09708627313375473,0.1177925243973732,0.7851212024688721
1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),"['24fEOzlKhgSNLIcy9NdmwH', '17Do37U0HEbxu1tOrKH8dL']","['James Reid', 'Nadine Lustre']",3QfF6wHIC96HGQ4RzbvEKN,,2016-04-25,0,0.552,0.491,7,-7.776,1,0.0306,0.687,0.0,0.139,0.222,126.064,294208,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,2.0,4.903466666666667,2,sad_opm,0.7757282257080078,0.09453530609607697,0.12973645329475403,0.7757282257080078
2OAmL7RxZ6pTLOWqUuzYBG,You,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,6ENd1IPgp04jK2XP9MDO7L,,2007-01-30,23,0.404,0.197,2,-12.986,1,0.0366,0.885,0.0,0.745,0.308,136.515,246813,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.11355,2,sad_opm,0.7348527908325195,0.1202189102768898,0.14492826163768768,0.7348527908325195
3yh7ByaRUKcABglccpLoVL,Bakit Nga Ba Mahal Kita,1Pz5rWU51M1RQQiT8GTYzg,Kakai Bautista,1E4kuvo1jEA8kP0vFpF0Fh,,2016-06-30,0,0.432,0.442,5,-6.577,1,0.0298,0.632,0.0,0.139,0.235,139.727,300486,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,5.0081,2,sad_opm,0.788433849811554,0.1040911078453064,0.10747506469488144,0.788433849811554
4st1edjjHpldoZ52b2fcfh,My Love Is Here,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,4yvxECGWia9X4cVNVo52zV,,2009-07-08,0,0.27,0.276,9,-8.156,1,0.0332,0.85,0.0,0.14,0.231,71.795,221866,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.697766666666667,2,sad_opm,0.7473602890968323,0.10793130844831467,0.14470839500427246,0.7473602890968323
5UHS0sHtN9jupIQQfE7DOc,Heaven Knows - This Angel Has Flown,6fGrdErU6KhoGyN89BWm4b,JC De Vera,3KkvLpEfPyKdC5K1lP2GHC,,2016-02-15,0,0.699,0.272,4,-12.284,1,0.0333,0.649,0.0,0.0955,0.383,167.988,237050,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.950833333333333,2,sad_opm,0.7442798614501953,0.1367075890302658,0.11901256442070007,0.7442798614501953
2do8RHXBj4CxG3n08KHBWZ,"241 (From the movie ""100 Tula Para Kay Stella"")",09Xydf4dlkr29dH99DmsvQ,Janine,3LSoZFInai9002jxGQaajo,,2017-07-21,0,0.345,0.246,11,-7.883,1,0.0297,0.846,0.0,0.156,0.17,143.588,220277,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.671283333333333,2,sad_opm,0.7780017852783203,0.1092667207121849,0.1127314642071724,0.7780017852783203
46ixegtxjERQMCutmp09Sa,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",1mcqfNCReSFxun2vIWvC28,KZ Tandingan,3aOj64v2njmsuCiIZmoN7X,,2017-07-14,0,0.37,0.434,6,-5.935,1,0.0311,0.774,1.58e-06,0.0993,0.201,139.839,280109,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.6684833333333335,2,sad_opm,0.7436318397521973,0.11401193588972092,0.14235621690750122,0.7436318397521973
0OWmwzgD2nHhMCC6f5fkof,Bukas Na Lang Kita Mamahalin,29Aqsp33ANrcidwOkNJJU6,Lani Misalucha,1LC90xA5k3FfRLduoCCSPW,,2012-06-07,0,0.418,0.293,10,-9.601,1,0.0316,0.625,0.00278,0.116,0.0589,79.518,227066,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.784433333333333,2,sad_opm,0.632090151309967,0.18867576122283936,0.1792340874671936,0.632090151309967
3ukfMvDwOB0DjBiHhAlXKJ,Coda,1tXFYQZSAswt4JLB42lpye,Sponge Cola,4RmwRi1cxCCBY5AK1fHphv,,2016-08-19,0,0.498,0.577,10,-9.144,1,0.0424,0.00508,0.0,0.125,0.504,168.144,184320,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.072,2,sad_opm,0.456989049911499,0.33337879180908203,0.20963212847709656,0.456989049911499
5ZjZSpcPrvIEdH4GbAy3yx,Tempura,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2SnEjXNaG9H6kJV048m48D,,2017-11-15,29,0.579,0.488,10,-7.41,1,0.0264,0.334,0.0,0.19,0.323,145.993,215083,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.5847166666666666,2,sad_opm,0.6968689560890198,0.15144458413124084,0.15168650448322296,0.6968689560890198
6SnAFmKsypaQEcE6K9vGJn,Pasko Na Sinta Ko - Live,"['2kZThDGZcHl4klYYFk0v8n', '7fVbBzDDOt79tXJsAo5fsw']","['Moonstar88', 'Jensen & The Flips']",2jKmYIRzvY3TiH2hcClrkr,,2017-10-13,13,0.354,0.29,4,-10.864,1,0.0264,0.803,3.45e-06,0.403,0.126,78.363,225038,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,2.0,3.7506333333333335,2,sad_opm,0.6947137117385864,0.17298059165477753,0.13230574131011963,0.6947137117385864
0BAQ8k7O2ZlafZzCeBo0jy,Sana Ngayong Pasko,7DRgc0ko15aNa7DMeZ3J8G,Jed Madela,5KbxftyBiIXdct7jB3UjP8,,2010-01-01,0,0.598,0.486,0,-7.293,1,0.0263,0.665,0.0,0.135,0.227,132.082,216653,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.610883333333333,2,sad_opm,0.7613338232040405,0.11216602474451065,0.1265001744031906,0.7613338232040405
2ik7s9ACTpaNukMZ7RSyX4,Sana Ngayong Pasko,4BNWanhw4AjSXjBm9L1Jzy,Juris,2y2923M5js7UqaT6hUFTK7,,2012-01-01,0,0.399,0.206,7,-11.818,1,0.0369,0.928,9.32e-05,0.083,0.246,118.037,242367,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.03945,2,sad_opm,0.7954167127609253,0.09772557765245438,0.10685764998197556,0.7954167127609253
7q9mYrwOfZSV1aOLOc46Cb,Sana Ngayong Pasko,0u4G1K1CSzcp5PZ6G6FIGu,Darren Espanto,4h2iqCoSiktfmQoASLKss6,,2017-11-10,0,0.595,0.451,5,-7.568,1,0.0277,0.678,2.27e-05,0.0926,0.205,117.974,275857,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.597616666666666,2,sad_opm,0.7165998816490173,0.13757266104221344,0.14582741260528564,0.7165998816490173
29mFbBVDVeMf7eYW9XgCMC,Umaasa Lang Sayo,2JqRK7SaEpwLjQDBartst9,Six Part Invetion,6NgULxIhEG3VxhOXy7V1MU,,2007-02-01,2,0.475,0.335,1,-8.726,1,0.0302,0.902,5.75e-05,0.116,0.233,121.019,253022,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.217033333333333,2,sad_opm,0.7832542657852173,0.10022928565740585,0.11651641130447388,0.7832542657852173
4bPRJBPmVXC9QgZn27rFNL,Iingatan Ka,00RJAkLnjGx4kVWVJbOJx1,Carol Banawa,4DHkuNCj0IvGesIRqjPA2z,,2000-01-01,5,0.554,0.438,5,-8.251,1,0.0316,0.586,9.28e-06,0.107,0.213,134.097,329224,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,5.487066666666666,2,sad_opm,0.7820156216621399,0.10471723228693008,0.11326715350151062,0.7820156216621399
6lYz3WBCREqWfhZClEX34r,I'm Missing You,3mX04kEURyXpTcCs2xe9hP,Bea Alonzo,0hZsC9CbW9MkJ3nufhhtLb,,2008-06-01,3,0.447,0.452,5,-4.89,0,0.0282,0.798,0.0,0.125,0.205,84.999,218853,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,3.64755,2,sad_opm,0.7085845470428467,0.12874168157577515,0.16267380118370056,0.7085845470428467
6NHX7VFddKF0YGeUiYS9f0,You're my you,3NoMhEPc4jHWZt1Eopv6wH,NYOY VOLANTE & THE MANNOS,6ooDv4u22YmgSjv5kcuxE6,,2009-04-07,0,0.462,0.284,0,-10.84,1,0.0341,0.851,0.0,0.0948,0.155,83.444,244653,1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,sad_opm,1.0,4.07755,2,sad_opm,0.7515509724617004,0.11285069584846497,0.1355983465909958,0.7515509724617004
