track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,popularity,duration_ms,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name,duration_mins,genre
4SS1u8rczYiLJvN5Z4v1aQ,0.743,0.741,6,-5.825,1,0.125,0.112,0.000742,0.357,0.672,80.977,Huwag Siya,0,254373,"['1dpv0XBdgUa5z4vzn7ahIz', '5GdspZ491zr64zzwVJJjJZ']","['Donnalyn', 'Shehyee']",2,1gcjCCkUaktYqInjv4LpCN,2014-08-20,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.23955,happy opm
7iPjDhYjuxVpD2bWKAZZOY,0.723,0.757,9,-5.192,0,0.0359,0.108,0.0,0.154,0.79,112.013,Ikaw Na Na Na Na - Disco Version,0,181080,2CZutpxBb9EoWpnjh4kqx2,G2B,1,70tYXA7aBtmtaQdhXYYiXg,2013-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.018,happy opm
626flbKikvrxJyUESqvER4,0.755,0.697,0,-7.941,1,0.0398,0.444,1.21e-05,0.259,0.489,120.051,Discolamon,36,248120,0U46MggdSX3enMM5t5G7jI,Banda Ni Kleggy,1,6B9QOoIvccz95kgIq0CaRM,2015-07-11,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.1353333333333335,happy opm
56sRPwcfFXDxtCwvCDgkEc,0.618,0.698,2,-6.925,1,0.0343,0.038,4.08e-06,0.384,0.628,125.027,Kumusta Ka,0,181867,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,3f2mb0nkdNKLDfDnvvTqAc,2013-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.0311166666666667,happy opm
5P1GlyYGuofTOWUDvHllcG,0.752,0.838,9,-4.438,1,0.0271,0.018,5.97e-05,0.154,0.787,114.969,Chinito Problems,0,241237,6JOWPLiMEZPRrwyhn8gw8C,Enchong Dee,1,0Pn2CdUAOw6FeE31nuFn6d,2014-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.020616666666666,happy opm
2yboUlaojptpWI7GcnKnn7,0.736,0.674,0,-4.695,1,0.0664,0.381,0.0,0.342,0.762,126.088,"Mr. Kupido - From ""A Love So Beautiful""",0,217983,649gjTwOWFCf1lTdgkN8Jd,Natsumi,1,6fPSLBNkbfuSHCyR5JwTXE,2018-04-27,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.63305,happy opm
3eSDXqvDhUriIOsnBCDoBc,0.717,0.711,4,-9.257,1,0.0282,0.168,2.59e-06,0.153,0.941,129.966,In or Out,0,271882,3LKVw6XQYcot0OZMFmf4IP,Sandara Park,1,1ESZDjfyERKdAadxy19p50,2005-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.531366666666667,happy opm
0r4ntnBbIFueu9Cd3bcyF5,0.878,0.875,2,-6.081,1,0.0613,0.388,0.0,0.804,0.96,132.884,The Spageti Song (feat. Joey De Leon),43,231640,"['4HuN4J7CJxP3Y3FizjNxXa', '204rRUtZ6aVfefn4b0DW62']","['Sexbomb Girls', 'Joey De Leon']",2,7AOFfSEM5Nx0M2ku2mgkwt,2005-04-18,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.8606666666666665,happy opm
433uxflA2eon698IDXQP71,0.833,0.606,4,-9.637,0,0.0383,0.129,1.81e-05,0.085,0.936,117.977,Kilig,0,202773,6cXE5RU6ad2uzeRUxh7Olj,MAJA,1,4oVAuQe5tpXdv9viET16jo,2014-03-06,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.37955,happy opm
4b8WHzIlHN33VyJwccBlIc,0.77,0.801,11,-8.479,1,0.0392,0.172,8.57e-06,0.0306,0.972,127.012,Ayokong Tumanda,51,328893,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,1,7B5frROxaagqiqHXnxVerP,2013-05-16,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,5.48155,happy opm
5VoY18OYEE2E6RJCBd2jki,0.702,0.941,0,-2.293,0,0.0428,0.4,0.0,0.146,0.922,125.984,Go Up,56,189047,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,4JlsfnNH8MCDXR0ypy1zcm,2020-07-31,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.1507833333333335,happy opm
0EplIjPro6oHSgYI1RZwX0,0.747,0.863,9,-4.074,1,0.0284,0.141,0.0,0.404,0.954,130.967,Urong Sulong,0,233946,44sizcqbUVsSbgOAEfvLNY,Pop Girls,1,0RIooXl2ms5698GsKZ6C2F,2009-02-12,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,3.8991,happy opm
5fuBcv4rZP0mtjNSj3UPsk,0.785,0.944,1,-4.003,1,0.0904,0.0399,0.0,0.0957,0.954,126.01,Tumitigil Ang Mundo,1,247670,10bk3EHVC30yi6F10nmvL8,BGYO,1,2Jg15zG5g9QnXZT0O1Wjjj,2022-07-13,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,4.127833333333333,happy opm
