name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Just Once - New Version,66,269280,0rKPoDE9Bm4OcZeyHrHZnV,5bTTx0CRvZj1kRJwUsWWYo,James Ingram,1,6ZYynOoi9YEBlSCUPE5Dlg,1999-04-12,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
All My Life,63,183826,0fqP1OK8UuiVK4WdsYCeY3,35U9lQaRWSQISxQAB94Meo,America,1,47oeiAp77ElEEL05d0t0Is,1979-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Sometimes Love Just Ain't Enough,50,265386,5MAYZWb9ptYw0G3bqWf5lC,"['2dgfCEMSVETFp29mRpiFpz', '5dbuFbrHa1SJlQhQX9OUJ2']","['Patty Smyth', 'Don Henley']",2,14cEah80u4Q1QdcwuvTaEC,2014-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Right Here Waiting,78,264333,4LFwNJWoj74Yd71fIr1W8x,0grdhNhiRLFBaFVyybqsj6,Richard Marx,1,0Zf6FJVyK6qUxmg1WMNruG,1989-01-01,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Make It with You,72,192200,7wWw7hBmErNg9u5w6Xx0vy,70ZTdbPEcEugBNay4MvxfL,Bread,1,2eTrV6WUTJtKFzg5iznPJ7,1970,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
How Am I Supposed to Live Without You,73,255666,3RMeOetCdXttthQK0clPuz,6YHEMoNPbcheiWS2haGzkn,Michael Bolton,1,5g9LXOhTPW9Iow6GZPRg2D,1989-06-27,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
"Endless Love - From ""The Endless Love"" Soundtrack",0,265986,2GBYWH1FHy0MjKD0ep2t2Y,"['3gMaNLQm7D9MornNILzdSl', '3MdG05syQeRYPPcClLaUGl']","['Lionel Richie', 'Diana Ross']",2,69CqA30FbyDY14jrG1t73s,1981-02-17,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
For the First Time,44,268640,3549krhOebPMbTaSIroyGc,3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,1,68ZonGoyvksZu4sqqNXect,2002,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
The Old Songs,39,250093,7AbWKUY1dlXKmyGTVu4qqT,6SuhlH2L1NB53bBscBqAdu,David Pomeranz,1,0a87wgQQ0zSk6s7K288jiD,2006-09-26,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Miss You Like Crazy,0,234280,1fDmIkJoVxPge6hAxwJIM9,5tTsrGPwQRWUsHR2Xf7Ke9,Natalie Cole,1,1Fz5HW0oy2HuSLMleCLzlx,1989,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
