track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6IMaX9tLFWiaNVa6CYqcto,0.598,0.631,1,-7.818,1,0.029,0.166,8.93e-05,0.13,0.397,100.01,295445
080o0CJDR8Pi7grgimzbgQ,0.354,0.822,3,-5.4,1,0.066,0.408,0.0,0.185,0.605,183.828,370752
2kavKIw8dCZzLMdHGkQEOy,0.617,0.712,0,-4.684,1,0.0367,0.132,0.0,0.0499,0.53,106.018,418133
6WZnyQk5YSeYu1RlAxlESa,0.522,0.752,1,-4.507,1,0.0284,0.0805,0.000722,0.109,0.289,100.024,487579
23d9KeZGprg4dgTnBqwYNB,0.629,0.703,0,-9.016,1,0.037,0.104,2.26e-06,0.773,0.364,93.998,267677
6SsX8lcUw187DWrigSzk0n,0.604,0.598,5,-6.334,1,0.0468,0.459,0.0,0.107,0.493,135.747,274158
1EQdkcw7WopJYZAUK1xJDl,0.501,0.44,1,-6.883,1,0.0277,0.116,0.0,0.12,0.259,130.417,285286
38DMKRt0iK6FrbsGMyGTNe,0.604,0.598,5,-6.334,1,0.0468,0.459,0.0,0.107,0.493,135.747,274158
1Ri9P0ZPrqr6h0REDRdJBd,0.648,0.938,1,-3.298,1,0.115,0.0339,1.28e-06,0.0564,0.849,78.496,200467
6GYZS99WOJ00mZ4lAJ5gDA,0.64,0.469,2,-11.611,1,0.0244,0.2,1.52e-06,0.115,0.574,93.993,352395
0nUmJ4dQK4JlIpTJQr96AA,0.718,0.482,5,-13.121,1,0.0488,0.165,0.0,0.364,0.806,89.832,394728
25QgXVR3pS7eE9evWd6jGj,0.572,0.78,0,-4.264,1,0.0407,0.216,0.0,0.105,0.329,100.077,291060
5Xi53WCdvdjNcJsbvOBe29,0.513,0.693,1,-7.609,1,0.0325,0.000941,0.952,0.535,0.341,100.02,472869
7kfiHHLYrxleck1R56rLrg,0.714,0.759,5,-6.239,0,0.0329,0.00483,0.00574,0.0842,0.887,114.982,138284
7segkq8uZLqiORlsjgaQMA,0.736,0.55,5,-8.837,0,0.0393,0.53,3.52e-06,0.0957,0.608,134.998,146613
2jaIIVgzVpZeNZ5s7vgn6v,0.479,0.599,0,-9.557,1,0.0376,0.445,9.93e-05,0.0903,0.296,96.03,286000
54xwT2nMdt06vYpYFWfHzm,0.633,0.481,2,-8.557,1,0.0284,0.436,0.0,0.119,0.947,112.572,103387
2H4c5V0oIfPxuYLBTiUon4,0.624,0.711,0,-4.683,1,0.0354,0.132,0.0,0.0499,0.546,105.991,418133
7rrVN7f83kwaz2sGxoFnJY,0.57,0.292,5,-14.408,1,0.0293,0.841,0.0,0.137,0.399,72.534,207000
7zizK2V3XNkW8qTY0jEsSU,0.613,0.794,1,-4.731,1,0.0813,0.321,0.0,0.0896,0.824,159.925,375750
69Ds6puYZGL2fMofaJlt5l,0.437,0.36,4,-3.305,1,0.0312,0.741,0.0,0.16,0.258,126.804,117667
0bPMAIufCwG0IM9yMTctoK,0.693,0.584,0,-7.454,1,0.0287,0.316,1.21e-05,0.452,0.933,104.674,178726
7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,130973
3wGP1amC21e86B3HLJWf8k,0.662,0.731,9,-5.679,1,0.034,0.111,0.0,0.0772,0.75,106.972,143407
7KKCYOEim1mKrlbwntRzMM,0.531,0.31,0,-10.515,1,0.0805,0.962,0.963,0.0853,0.506,124.774,79200
77nF1t4qesuOJRd8lbIzNX,0.735,0.681,2,-6.195,1,0.0282,0.215,9.96e-06,0.411,0.948,107.671,262760
64Sd1Sg0dwXBwGd5dBVhj2,0.719,0.782,9,-5.697,1,0.0437,0.554,0.0,0.704,0.829,140.035,220800
6nCAuV8db9kn8S3TOlp5BA,0.543,0.339,9,-12.237,1,0.0253,0.397,1.4e-05,0.138,0.339,87.538,253333
6aHH7dUwkjgCfLmlPngjKB,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183067
5kHIec7Bj5fBMbvhdKpC3U,0.651,0.236,11,-13.505,1,0.0353,0.809,2.59e-06,0.11,0.397,106.927,221230
06t5ADrGkCLGF8NKZFg9vj,0.686,0.958,1,-6.536,1,0.107,0.0444,0.0,0.346,0.898,146.123,196545
4gqmOtgnjk9Df9uAZw8I7v,0.595,0.382,7,-9.562,1,0.03,0.699,1.38e-05,0.121,0.372,74.997,217000
4y2tx9KSUMEmC0AIr99yDw,0.577,0.26,2,-13.383,1,0.0318,0.89,3.29e-05,0.112,0.444,140.193,183857
54sU8Nt5Eefu3sGnviCKiE,0.573,0.612,0,-6.281,1,0.0623,0.527,0.0,0.281,0.311,144.885,204281
2TMwa7JqgnTxo6koLACzjh,0.564,0.25,0,-16.092,1,0.0301,0.788,0.000206,0.0643,0.157,132.015,231782
4KejdAYjLhCZDIwFvutvPW,0.313,0.136,8,-13.35,1,0.0371,0.89,9.1e-06,0.0713,0.198,81.391,269600
2V6KeCIbhDZiwVgxWWPmP8,0.574,0.0331,0,-17.346,1,0.0918,0.985,0.973,0.11,0.567,101.695,91067
7pSoRbHvsWWysBdX251mCu,0.0881,0.359,1,-12.044,1,0.0381,0.888,0.927,0.143,0.0364,166.061,25133
5d765y99Ai4iFHROf4WdLf,0.531,0.875,8,-7.245,1,0.0353,0.00456,0.00189,0.212,0.783,176.049,334091
5KVyd0goUMsMdeEBjxL3eL,0.301,0.206,11,-17.196,0,0.0452,0.845,0.455,0.0863,0.118,147.138,243696
3hr50HGK7KuQI8JLHMoGmN,0.63,0.13,5,-13.191,1,0.0329,0.928,0.0,0.116,0.126,124.901,164120
6ZtBLhIEbGfzswkkcYjB3e,0.594,0.336,3,-16.296,1,0.0599,0.529,0.00062,0.104,0.828,114.805,156960
4rGuJFtd7E8GITlFP5mbTh,0.711,0.338,5,-12.798,1,0.0666,0.948,1.19e-05,0.0893,0.965,121.414,157000
5F1Fi1NevW0Y7YBTPFeZCZ,0.47,0.462,9,-14.187,0,0.0408,0.724,0.0,0.341,0.835,133.303,85760
2KzxMDcnxtzvqPUXxoe0h6,0.574,0.407,4,-14.621,0,0.067,0.552,0.0,0.441,0.906,123.817,325800
6lNQmfzS2BVeiieoKbmY6s,0.373,0.361,11,-10.252,0,0.0324,0.396,1.04e-06,0.0814,0.11,149.793,243987
5pXgobN9z19ofRjJ291gfY,0.398,0.59,8,-8.44,1,0.0419,0.0863,0.0,0.133,0.891,210.072,181733
0wlRYnzDJSOzYwkQgRjM4w,0.665,0.68,1,-7.891,1,0.0431,0.18,0.0,0.0441,0.961,127.762,117427
29ML8IYtPhXn0Sf0HPs19D,0.279,0.138,0,-14.337,1,0.0386,0.856,1.1e-06,0.308,0.18,181.582,226250
4DnMIwv4TMh7HHSrkVyetj,0.679,0.603,0,-5.378,1,0.0285,0.182,0.0,0.266,0.836,99.911,75693
5buE0R6WkrF9JMypwpvW1F,0.756,0.542,2,-7.998,1,0.0537,0.126,0.0,0.0546,0.548,123.771,157920
5xJIywAi7t6GHp5Dn7wcOA,0.605,0.547,9,-6.849,1,0.0284,0.22,0.0,0.35,0.263,129.603,224560
5gWnns0nEKebvRfuAMe4NC,0.691,0.772,10,-7.15,1,0.03,0.0398,0.00162,0.358,0.537,122.88,186360
3Gt3KzNedXPbh4aWutoTsO,0.63,0.322,9,-15.003,0,0.0379,0.899,0.000303,0.146,0.734,118.042,183827
3XcNqztBWFDuMvUQlP3qiu,0.476,0.419,9,-15.004,0,0.0384,0.921,0.0,0.385,0.838,132.187,83600
0pWVWgmhshzdbQU11trgUS,0.445,0.257,0,-13.566,1,0.0552,0.754,0.0,0.123,0.372,78.412,208902
1zo0b2HqIRGIWSvOKGCWCK,0.768,0.446,10,-14.131,1,0.0315,0.524,0.0,0.0696,0.968,115.182,96493
3I9rGkRCdgFBMeXDGh5EmO,0.648,0.344,5,-14.403,0,0.034,0.583,0.0,0.441,0.965,119.562,147067
4KZMnB7iXYzxL0BNXshtHc,0.751,0.325,2,-15.198,0,0.0394,0.656,0.0,0.0462,0.96,117.243,132333
1D3yLZPbuixVq8xejjCHqI,0.414,0.301,0,-11.862,1,0.0355,0.967,0.0,0.151,0.308,137.753,149453
0EUsltn1jxoMkLHyymszk9,0.16,0.233,1,-11.24,1,0.0353,0.974,0.0,0.113,0.094,168.118,219960
3i6pbaPTJMwH4qcqvAUm04,0.249,0.196,5,-13.349,1,0.0572,0.956,0.0,0.384,0.143,89.705,195107
1ijt0zh89uGr3xtoyMIOsH,0.547,0.608,11,-6.574,1,0.129,0.464,0.0,0.0998,0.536,139.363,156347
3Z5VoFXPMssg3AIZeTCxL1,0.519,0.434,7,-9.963,1,0.0274,0.574,0.0,0.163,0.635,131.781,139893
7d4pHMrw88IiRWYGD7bNOb,0.518,0.332,1,-11.726,1,0.0287,0.208,0.0,0.121,0.24,130.259,284920
6LivYvzWanzTQm8Tm3aTsa,0.279,0.0824,7,-21.409,1,0.0338,0.735,0.000227,0.0685,0.0942,81.254,246735
07Qr81yHO5Swh2fwM3TVwa,0.546,0.314,10,-14.801,1,0.0393,0.186,0.0,0.18,0.37,111.891,171027
4AKo0LvZYYF1suNP4jAIVd,0.544,0.109,6,-18.249,1,0.058,0.977,0.0,0.132,0.545,65.546,136480
0ghnjg1XxUSC4GxKFIVqbF,0.465,0.277,2,-13.384,1,0.0306,0.869,0.0,0.157,0.664,105.451,212000
6Cdvxn43rU0xffhr7nlNiz,0.552,0.255,1,-14.512,1,0.0295,0.705,2.37e-05,0.443,0.323,99.624,165000
3xGYldTHbV4y2UG798aa8P,0.361,0.388,4,-7.668,1,0.0322,0.836,1.62e-06,0.167,0.231,78.143,187253
2opnn6OB9wf7J3bTNVK92f,0.746,0.74,7,-1.924,1,0.0317,0.207,0.000628,0.156,0.694,129.981,98194
7n7mTiptQT1iNa7rMhcZS8,0.358,0.571,4,-7.337,1,0.0288,0.663,0.0,0.0935,0.456,183.798,283621
0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107
5EGVmjPN2y1s3hrPcQGqiF,0.762,0.643,6,-9.31,1,0.152,0.375,0.0,0.0603,0.682,126.98,223333
52fLO73ZtNIukSZ7SBGMhp,0.707,0.418,3,-13.634,1,0.0352,0.2,0.0,0.0604,0.762,116.353,169320
0xGoTx0fpK7Dg3ZclRj7Nq,0.46,0.513,2,-13.653,1,0.045,0.0266,0.826,0.125,0.386,188.0,352082
1LPnf1HQm4KEfTprVoaf1s,0.615,0.597,0,-8.784,1,0.0318,0.612,0.0,0.0657,0.353,99.988,274811
0GgFpUEQzr5RuDZC768g0k,0.505,0.462,6,-5.692,1,0.0271,0.623,0.0,0.113,0.113,139.914,235723
7cjvz6RjTFaGYkhB5Py5yJ,0.631,0.572,1,-10.456,0,0.0284,0.328,0.0,0.148,0.418,91.978,438442
6Gz5nA3OkJL1mgJrKrJJlR,0.52,0.401,1,-8.682,1,0.0288,0.221,0.0,0.09,0.231,130.311,287011
1fHV6cGWdgEjE3ZfoFHKDj,0.623,0.493,5,-12.363,1,0.0307,0.188,0.0,0.153,0.5,90.019,281333
7BClYQ7fWFTrq1iPIaHpEz,0.365,0.217,0,-9.935,1,0.0272,0.949,7.53e-05,0.102,0.13,83.71,184061
2q6brygLtY5bIyDJIutxiY,0.235,0.308,7,-12.343,1,0.0344,0.37,0.767,0.144,0.257,110.079,147000
1ZSzSnCX9R3o2oyxMOCImx,0.231,0.162,2,-16.303,0,0.0353,0.922,0.622,0.126,0.0714,78.219,228000
45TYnu6a1oUoSiHWfuLBkQ,0.763,0.864,7,-5.135,1,0.0246,0.408,0.000133,0.123,0.969,104.004,166600
01kCBmzpoZC46GMSwz2UR2,0.607,0.395,0,-8.182,1,0.0364,0.985,0.0,0.0858,0.863,108.225,93544
7ILzhOWRwuPLlAxxoBtpZi,0.613,0.392,7,-11.342,1,0.0283,0.11,0.0,0.0459,0.319,109.758,279240
18VhhrGCpkjwQsCjTk6h3M,0.372,0.305,0,-13.302,1,0.0301,0.602,3.58e-06,0.162,0.0677,133.812,220053
3QnBJrooPo1Q4jTuggwzUy,0.715,0.762,7,-6.64,1,0.0482,0.551,0.0,0.234,0.751,119.94,183950
0E8eAVCGmOk78xebmDEBfF,0.493,0.929,2,-4.671,1,0.0575,0.109,0.0,0.508,0.909,165.058,170973
6AylOA7shQI8XK7z88kIxF,0.722,0.177,9,-18.069,1,0.0933,0.974,0.84,0.142,0.702,91.002,127955
6pTTEPXrL8STDDeudUCt7z,0.372,0.327,2,-13.266,1,0.0311,0.757,2.71e-05,0.435,0.373,50.538,151000
3JJVw6cfUD0qqXjvPyyDOk,0.563,0.786,7,-6.655,1,0.0625,0.157,0.0,0.158,0.381,132.049,175817
