name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
The Spageti Song (feat. Joey De Leon),43,231640,0r4ntnBbIFueu9Cd3bcyF5,"['4HuN4J7CJxP3Y3FizjNxXa', '204rRUtZ6aVfefn4b0DW62']","['Sexbomb Girls', 'Joey De Leon']",2,7AOFfSEM5Nx0M2ku2mgkwt,2005-04-18,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Kilig,0,202773,433uxflA2eon698IDXQP71,6cXE5RU6ad2uzeRUxh7Olj,MAJA,1,4oVAuQe5tpXdv9viET16jo,2014-03-06,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Ayokong Tumanda,51,328893,4b8WHzIlHN33VyJwccBlIc,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,1,7B5frROxaagqiqHXnxVerP,2013-05-16,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Go Up,56,189047,5VoY18OYEE2E6RJCBd2jki,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,4JlsfnNH8MCDXR0ypy1zcm,2020-07-31,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Urong Sulong,0,233946,0EplIjPro6oHSgYI1RZwX0,44sizcqbUVsSbgOAEfvLNY,Pop Girls,1,0RIooXl2ms5698GsKZ6C2F,2009-02-12,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Tumitigil Ang Mundo,1,247670,5fuBcv4rZP0mtjNSj3UPsk,10bk3EHVC30yi6F10nmvL8,BGYO,1,2Jg15zG5g9QnXZT0O1Wjjj,2022-07-13,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
WIN YOUR HEART,53,209531,0DnNMu0v71ICscsyuQgmu3,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,7pIITdtb7JJNSF7ah0hltg,2022-07-17,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
"Tuloy Pa Rin - From ""abnkkbsnplako """,46,293666,7wcxFgRc4igrAwo0GsD1Mc,6uL1sJWYOjC2V4j9LzmLES,Flip Music All Stars,1,7GWNX1eSeGec65MfGgkQaZ,2014-01-28,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Awitin Mo At Isasayaw Ko,31,178426,2V7ynsdaofsrzPgMn1VoH8,4HuN4J7CJxP3Y3FizjNxXa,Sexbomb Girls,1,7AOFfSEM5Nx0M2ku2mgkwt,2005-04-18,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Sinayang Mo,0,193689,0RWSCMLypBE9vqK1EhwCxI,5BukDmriB1WrLFDavZzHdJ,Jeremy G,1,1g8zVJRkeTH5UqT8F5p8RZ,2022-09-30,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Ewan,51,234280,6vzopDJ9mXKb9wDXP1RLgV,6MXu7TWZnmykwkXiRJeUMh,Imago,1,6zQgFMVjE1LpUGyMDA7K8h,2007-01-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Hayop Sa Ganda,40,194014,6lIb9gcuy4tm5SU1XVSP9K,39EHxSQAIaWusRqSI9xoyF,1:43,1,16DSNgw4WnwcGHS8fWjuKX,2014-08-03,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Dulce Tirah Tirah,31,211621,6FhJycP10KoRYnm8uovCJ9,0rhvE3OgmlFSE2V5EzI1hr,Denelle F,1,49fnr3vh3QOhClXJqxRevN,2007-10-01,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Paro Paro G,49,156055,1ZASZCYarg1OZ41lnhW65g,7CKH1s7UyutklRbZ40Ebc7,DJ Sandy,1,6ZC9Aac8qvrdAASQPjBz4z,2022-02-22,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
"Paligoy-Ligoy - From ""Diary Ng Panget""",62,198533,2mHZkcKMA1MkXAziIXQtVv,17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,1,3KCYGc5oOMidMFih08J4or,2014,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Aba Bakit Hindi?,0,198000,2KnBndXWB37U95D0m7tGcg,17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,1,1puKZofUDo6HwiXbJVqQNv,2014-08-20,0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs
Estranghero,73,186610,6HVT2c1ZZdhH1nGFb4AxUJ,61nn6nOoLWjVC1ER2qFAvN,Cup of Joe,1,4RVn8ciIB4E7FMEBbmLpNc,2022-06-10,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
