name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
A Way Out,24,180000,7Cey4kxrNuZfFz07mFsPPE,2J15J7lLY74L3uG6mvPVnc,Eliza Marie,1,7JRPFxQUKZGQJAmwq5FT0w,2023-08-11,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Lilly's Child,36,144489,53VWrgqxMeyLvzRaPZH89K,0pie0aHWJncJV8IYRnYcD3,Alexis Gildore,1,6IljuxUuJiSP87CuHpEn3E,2023-08-11,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Bulaklak,38,269291,2TM786ycFGiO0e2CW5f9uK,1ivVBioZ1Pocki7Ccqe3dI,MarCø,1,4HKqZ8TlIkRDAKTvPLp9SO,2023-07-21,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Pakiusap,44,175589,6CyRHuzI8LcX1qtWtHaUPM,220RvBKeVFbVEZf3YE2tKC,JERGE,1,12JXkOGXbf1GPDJYdBvxeL,2023-06-27,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Horizon,36,193194,3wIql1xTfBwTeaRQfuK5cL,6fc4La0O0xzu4tZIE0tSsQ,Ysanygo,1,2HvwHLj6sjOuyrZE4vG0fe,2023-07-21,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
salita,34,234798,0Hyem1EubuGA0g4c6yLAD3,2D7VJeNRHoVQgxnNXxR9cK,unikko ijo,1,73mCfK4xiNVU1zXdZYXpgN,2023-07-28,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Paulit-Ulit (Sorry Na),30,210003,7eUOsa6RfxYWV34ey5U2HI,7nTSu9SOc12DLKLFktzIHJ,CHELLY,1,0zmgAKDkDThn3Ika0rXULC,2023-07-21,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Pangako,43,199121,37fxTC4k42nkHJep3R6lVr,0pUq7G8WZUhDM3hqe1fWSS,joem,1,1kuVZdA4fLLaBwNLwK4ElQ,2023-07-14,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Halika Na,35,404869,2Jh7V0RVCWuPLTTPuS7NRO,2aCY4b5Z1tUWSyAbUNLrr6,Ippo Huwano,1,3Gl4ywlE1QM8AhlONldKdm,2023-07-14,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Totoo,46,280769,2xLdN3oHi4CG89H9g1DJXN,2owtRYReKCG1n2AAS5AcpS,Kenaniah,1,50ZqQAS4Cp2ATe9w1MUHB7,2023-07-07,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Sy,35,324782,4ckqv8nO8cvqdCXe1pJKTG,6keXdTyN2lpda6B1XmVM6v,Joshua Khaled,1,18KzzEHs4LZxkMOgZEpO9v,2023-07-10,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Sa Tingin Ko,30,198727,5muQzF8mJCqxBreEqHSDfD,3rKaqZWYrUPpFo2K8Ut65H,day one,1,6py07W63ksDJ1xZsZx2dn8,2023-07-14,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Bakit?,63,194442,1PpuRYoMSWX8CQZDTE1MRV,6AvnL2gWjNYs1hRVJx4huK,Maki,1,4yUpIXYnlsHPTT3mIAzIKI,2023-06-30,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
tuluyan,39,290490,6WHjGbBna42gfdydgwMunq,0hGHGm9XtxvrOG3yB1IpWP,shang-b,1,7frTZfk0Kk2PYK9iDKdtzb,2023-07-14,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
Sinulit,37,216264,6V76PrxuZBA9Z1NExluZKQ,4mg2C39tmnIPmNmn5twW9o,Mint Magic,1,74fNJhK7AO8AvBQCSSf8jw,2023-07-14,37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix
