playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
0BlH9dSprBFq6ftgjkvPgh,Happy OPM Songs,39,lopezalyssa03,Alyssa L,412
0j1DsJ4OxzbWGYCRCblGI9,happy opm beats makes me happy,66,maicarbdn,maics,41
44qyXcUE1Q4AdREcNv72Wh,Happy opm,20,31plraqzzymuw2xz3ewj4waihiq4,Rain_and_candy,1
37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix,50,spotify,Spotify,0
3fSyM0XFwRNICakfaw7a9A,Happy OPM Rap,15,mk92hiq1kx56pw9twvobhxbwe,Janmattbondoc,0
2qAKpsuCEeCGaJGO35Mnsw,happy OPM,15,versixto,Ver Bons,0
1fYgPkWCK6d44y3KK6YIzg,Happy opm,18,a5guo8pp08gvk6qj0p9itquti,jerald,0
4UmfJGF1MGrH9tAo6VxxiL,Happy Opm,12,che.diaz-my,che.diaz-my,0
