playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6m5FYwuInDa8tgmFDKux1V,Sad OPM Tagalog Songs,46,edwenjohn,edwenjohn,3690
1r7HjVVRuKIOYXKPRMe9Si,Sad OPM Session,366,12136361493,Remee Castro,3461
5ocknQPk0VpNENwS4MzsmL,sad opm songs,144,31sdmqf2dtutlxnkbzpzooi7yb4e,godcomplex,1758
6kmrmjQtl60d3PKmfD5Y3d,sad opm songs to make u feel less lonely :),15,cd7cjnjnur2qjq2d1c6lsvoq4,Yell Trinidad,980
0Ei2BwmwN3PI8zyMBV4B58,Sad OPM 90s-00s ,85,12137138269,Daniel Perales,52
2kKMXEdxzzOWlzFo8EiSOW,Trending Sad OPM Songs 2023,80,89zgxi3vlzdneiayme5kdm3o6,Best of OPM,37
0i2fGDp4G5ODEUCLHfisyZ,Sad opm rock,40,zeeangeles,Zeelot Angeles,5
37i9dQZF1EIfbm7qJeVMSu,Sad OPM Mix,50,spotify,Spotify,0
4boANFO6yU6l17CaH54KgZ,Sad opm ,30,aezrvuu4z5foca0vfzyoma8fp,kai,0
