track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6JM69PYfQymHFV4D9pO4tB,Dingo,0TjFDv09c7EAXTEkqNHRuE,Asianae,5AXxabW0rcPFZazPkBpTf0,129710,2021-11-19,38,0.907,0.746,2,-6.715,1,0.318,0.0181,0.0,0.4539999999999999,0.888,139.914,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
6JM69PYfQymHFV4D9pO4tB,Dingo,0TjFDv09c7EAXTEkqNHRuE,Asianae,5AXxabW0rcPFZazPkBpTf0,129710,2021-11-19,38,0.907,0.746,2,-6.715,1,0.318,0.0181,0.0,0.4539999999999999,0.888,139.914,0nzin6g8Uh5zdL8Y5h7xHh,HipHop Switch
6JM69PYfQymHFV4D9pO4tB,Dingo,0TjFDv09c7EAXTEkqNHRuE,Asianae,5AXxabW0rcPFZazPkBpTf0,129710,2021-11-19,38,0.907,0.746,2,-6.715,1,0.318,0.0181,0.0,0.4539999999999999,0.888,139.914,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
6JM69PYfQymHFV4D9pO4tB,Dingo,0TjFDv09c7EAXTEkqNHRuE,Asianae,5AXxabW0rcPFZazPkBpTf0,129710,2021-11-19,38,0.907,0.746,2,-6.715,1,0.318,0.0181,0.0,0.4539999999999999,0.888,139.914,1y64UZ5AyRTnMn7d59U8RJ,Hiphop Killers
4ZoNzXPoCGxh6uMdbLX0GT,Degree,3ClS3ZjBwOMYvEyDKxtg6L,E. L Creme,4yWXrNhBpNxMhpT6ncaRys,213315,2021-06-17,24,0.7609999999999999,0.449,11,-10.464,0,0.146,0.168,0.0,0.174,0.534,147.92,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
4ZoNzXPoCGxh6uMdbLX0GT,Degree,3ClS3ZjBwOMYvEyDKxtg6L,E. L Creme,4yWXrNhBpNxMhpT6ncaRys,213315,2021-06-17,24,0.7609999999999999,0.449,11,-10.464,0,0.146,0.168,0.0,0.174,0.534,147.92,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
4ZoNzXPoCGxh6uMdbLX0GT,Degree,3ClS3ZjBwOMYvEyDKxtg6L,E. L Creme,4yWXrNhBpNxMhpT6ncaRys,213315,2021-06-17,24,0.7609999999999999,0.449,11,-10.464,0,0.146,0.168,0.0,0.174,0.534,147.92,0Ydyu4H6x62oPdMv7KzF73,Hiphop Obligation
00QEdDYsvppBxyH9zVGAmH,Gone,5LwsKokIfyEjdGrC7VG2PE,Kyle Skye,1lHqbEib9N9nORyIh9le9T,204306,2021-07-02,27,0.7040000000000001,0.376,8,-8.603,1,0.0571,0.206,8.400000000000001e-06,0.133,0.0493,105.022,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
00QEdDYsvppBxyH9zVGAmH,Gone,5LwsKokIfyEjdGrC7VG2PE,Kyle Skye,1lHqbEib9N9nORyIh9le9T,204306,2021-07-02,27,0.7040000000000001,0.376,8,-8.603,1,0.0571,0.206,8.400000000000001e-06,0.133,0.0493,105.022,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
2tE6j5hru0Ja0p56TJQO6O,Wake Up,3TfoPqkJ2EeEJAXZoyoe04,Yvng Leaf,0ZR4ajL4TNVQrBfie2Ibyb,173714,2021-11-26,32,0.779,0.409,8,-12.784,1,0.105,0.206,6.01e-06,0.102,0.366,84.993,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
